User_ID,Age,City_Tier,EV_Type,Battery_Capacity_kWh,Charging_Sessions_Per_Month,Avg_Charge_Cost,Distance_Travelled_Per_Month,Income_Level,Loan_Taken,Missed_Payments_Last_6M,Tenure_Months,Charging_Location_Type,App_Usage_Score,Charger_Working_Status,Charging_Time_Minutes,High_Default_Risk,Charging_Efficiency_Index
19,44,Tier3,5KW,47.5,22,677.57,1705,Medium,0,2,34,Highway,8,Working,82.9,0,99.1
20,64,Tier1,3KW,24.3,12,486.19,374,High,1,4,41,Public,2,Working,35.3,1,100.0
21,50,Tier5,2KW,49.4,20,423.45,1736,Medium,1,1,6,Public,2,Working,67.9,0,100.0
22,58,Tier3,3KW,54.7,13,530.18,1019,Low,0,4,32,Highway,4,Working,76.7,1,93.06
23,22,Tier3,5KW,45.4,5,458.99,2232,Low,0,5,41,Public,9,Working,60.2,0,86.12
24,41,Tier2,4KW,51.5,29,456.85,1200,Medium,1,3,44,Highway,5,Working,75.7,1,100.0
25,53,Tier3,2KW,43.0,12,440.12,1245,Medium,1,4,2,Public,5,Working,63.6,0,94.8
26,32,Tier2,5KW,26.5,11,476.11,645,High,0,4,31,Highway,4,Working,40.1,0,100.0
27,42,Tier3,2KW,40.1,12,400.7,1392,Medium,0,0,5,Private,5,Working,57.7,0,98.38
28,64,Tier5,5KW,24.8,17,254.61,910,High,0,5,34,Public,6,Working,30.2,0,100.0
29,45,Tier5,2KW,29.0,7,671.85,914,Low,0,2,46,Private,7,Working,47.6,0,89.6
30,47,Tier2,5KW,38.2,6,513.6,614,Low,0,0,33,Highway,7,Not Working,113.4,1,20.41
31,62,Tier3,4KW,36.8,17,365.81,2067,Low,0,4,22,Public,5,Working,47.0,0,100.0
32,48,Tier5,4KW,39.6,32,492.14,1006,Medium,0,0,23,Private,9,Working,48.8,0,100.0
33,36,Tier1,2KW,17.1,8,314.4,1605,Low,0,3,46,Private,6,Not Working,66.1,1,44.51
34,35,Tier5,2KW,33.5,27,495.65,1645,Medium,1,4,36,Private,8,Working,57.8,1,100.0
35,64,Tier2,5KW,40.5,6,539.1,2439,Low,1,1,45,Public,1,Not Working,118.5,1,18.13
36,23,Tier4,5KW,42.5,27,573.95,447,Medium,1,1,23,Private,7,Working,71.7,0,100.0
37,57,Tier3,4KW,43.1,11,518.26,1669,Medium,0,5,35,Private,6,Working,76.5,0,79.98
38,27,Tier3,2KW,37.5,34,427.21,2221,High,0,4,35,Public,7,Working,65.7,0,100.0
39,41,Tier5,2KW,31.2,30,572.91,2278,Medium,1,4,6,Public,9,Not Working,98.7,1,60.38
40,29,Tier1,4KW,40.0,13,383.76,1315,Low,1,2,32,Highway,5,Working,59.1,0,98.9
41,59,Tier2,2KW,32.0,23,485.79,1850,Medium,0,2,45,Public,10,Working,50.1,0,100.0
42,38,Tier3,2KW,44.0,13,362.46,1611,High,0,4,19,Public,2,Working,78.5,0,82.7
43,24,Tier5,4KW,39.3,27,477.57,761,Medium,1,3,27,Private,3,Working,58.5,1,100.0
44,45,Tier2,3KW,34.4,15,629.3,2126,Medium,0,4,43,Public,1,Working,46.5,0,100.0
45,34,Tier5,2KW,27.3,17,542.74,1460,High,1,2,14,Private,7,Working,33.7,0,100.0
46,29,Tier3,2KW,46.2,33,560.65,778,High,1,2,2,Public,4,Not Working,183.8,1,13.41
47,46,Tier1,4KW,40.6,12,583.64,964,High,1,4,25,Private,8,Working,69.8,0,86.68
48,22,Tier5,2KW,56.0,18,441.58,1111,Medium,0,4,28,Public,7,Working,89.0,0,91.8
49,40,Tier1,5KW,40.3,23,345.24,1805,Medium,0,4,5,Highway,10,Working,69.5,0,100.0
50,48,Tier3,2KW,41.1,9,227.57,1372,Medium,1,5,34,Private,8,Working,50.5,0,100.0
51,27,Tier1,2KW,20.3,20,319.92,1466,High,0,5,22,Public,9,Working,29.8,0,100.0
52,64,Tier3,5KW,38.1,31,464.04,2065,High,1,5,10,Public,5,Working,63.1,1,100.0
53,28,Tier4,4KW,31.8,11,206.05,1349,Medium,1,1,6,Private,5,Working,39.2,0,100.0
54,55,Tier3,2KW,43.3,28,471.25,1237,Low,1,4,3,Highway,2,Working,61.3,1,100.0
55,34,Tier3,3KW,38.3,18,509.27,1614,Medium,1,2,2,Private,1,Not Working,132.4,1,23.97
56,37,Tier3,2KW,44.9,26,262.3,1240,High,0,2,30,Highway,1,Working,80.6,0,100.0
57,56,Tier2,4KW,56.3,26,555.51,2379,High,1,5,9,Public,2,Working,86.1,1,100.0
58,60,Tier3,2KW,27.0,9,399.43,907,Low,1,5,7,Public,9,Working,33.9,1,100.0
59,24,Tier5,5KW,44.5,34,253.76,927,High,1,4,27,Private,8,Working,64.6,1,100.0
60,22,Tier5,4KW,41.8,24,246.86,1238,Low,1,5,43,Highway,6,Working,65.2,1,100.0
61,26,Tier1,4KW,54.8,20,443.32,391,Low,0,3,41,Public,7,Not Working,180.0,1,2.69
62,62,Tier1,5KW,42.1,11,460.18,421,Medium,0,5,34,Highway,10,Working,51.5,0,100.0
63,24,Tier5,4KW,41.0,30,448.23,774,High,1,0,6,Highway,4,Working,51.5,1,100.0
64,49,Tier3,3KW,43.5,25,574.44,2170,Low,0,1,31,Highway,8,Working,68.5,0,100.0
65,38,Tier3,2KW,44.2,20,457.45,2150,Low,0,2,29,Public,4,Working,60.4,0,100.0
66,46,Tier5,2KW,49.5,33,380.35,2051,Medium,0,4,27,Private,1,Not Working,166.7,1,27.23
67,64,Tier2,5KW,26.8,28,411.54,896,Medium,1,5,43,Highway,3,Working,47.3,1,100.0
68,54,Tier3,5KW,31.1,16,579.78,1664,High,0,0,23,Private,6,Not Working,87.3,0,48.71
69,30,Tier5,2KW,52.4,20,315.53,705,Low,0,5,9,Private,6,Working,88.2,0,93.72
70,56,Tier4,5KW,15.4,21,469.08,1245,Low,1,3,31,Highway,9,Working,25.3,1,100.0
71,34,Tier1,4KW,34.2,12,474.61,2248,Low,0,0,43,Public,3,Not Working,128.0,1,16.35
72,51,Tier1,3KW,36.5,16,572.74,605,Low,0,5,2,Private,8,Working,59.1,0,100.0
73,35,Tier2,2KW,33.2,9,463.4,2109,Low,0,4,41,Highway,6,Working,54.1,0,90.46
74,28,Tier5,2KW,50.8,8,335.21,604,High,1,2,24,Public,7,Not Working,186.9,1,0.0
75,34,Tier2,4KW,39.8,32,473.06,1952,High,0,5,26,Highway,1,Working,65.8,1,100.0
76,43,Tier1,2KW,31.1,26,536.32,336,Medium,0,0,39,Public,6,Working,40.9,0,100.0
77,60,Tier5,3KW,28.7,32,466.77,497,Low,0,0,26,Public,4,Working,34.9,1,100.0
78,41,Tier1,5KW,37.8,27,581.57,927,High,0,3,31,Public,3,Working,52.2,1,100.0
79,36,Tier1,5KW,46.7,23,293.19,1044,Medium,1,5,39,Public,6,Working,61.6,1,100.0
80,65,Tier2,4KW,36.4,16,431.09,660,Medium,0,2,28,Private,1,Working,55.7,0,100.0
81,38,Tier2,4KW,33.7,8,450.72,2006,Medium,0,1,7,Private,2,Working,46.5,0,96.46
82,44,Tier3,2KW,28.0,11,542.69,1230,High,0,0,11,Public,5,Working,36.2,0,100.0
83,46,Tier5,5KW,38.7,11,557.94,763,High,0,0,5,Private,6,Working,53.5,0,99.46
84,45,Tier5,5KW,38.2,33,452.91,2453,High,0,0,16,Highway,8,Working,66.4,0,100.0
85,65,Tier3,4KW,27.8,23,406.7,2355,Medium,0,5,22,Private,6,Working,40.3,0,100.0
86,61,Tier3,2KW,45.3,29,472.57,689,Low,0,1,47,Public,9,Working,74.1,0,100.0
87,49,Tier3,2KW,52.1,7,313.13,1647,High,1,3,34,Private,9,Working,86.9,0,68.78
88,35,Tier2,2KW,35.5,28,391.29,2242,Low,0,5,2,Private,8,Working,63.7,1,100.0
89,65,Tier1,4KW,38.0,28,518.4,746,Medium,0,5,4,Public,9,Working,52.1,0,100.0
90,21,Tier5,2KW,24.0,23,492.43,2087,High,1,4,31,Highway,3,Working,31.7,1,100.0
91,45,Tier1,4KW,42.4,27,370.53,1765,High,1,4,22,Highway,5,Working,54.9,1,100.0
92,27,Tier1,4KW,39.6,23,356.18,1231,Medium,0,1,44,Private,7,Working,50.5,0,100.0
93,29,Tier3,2KW,31.7,17,354.07,1485,Low,0,4,24,Public,10,Working,46.7,0,100.0
94,44,Tier3,5KW,27.6,18,362.34,785,Medium,1,3,43,Highway,1,Working,42.7,1,100.0
95,21,Tier1,2KW,53.5,22,467.67,1143,Medium,0,2,46,Private,9,Working,79.0,0,100.0
96,64,Tier1,5KW,38.8,33,594.14,1439,Medium,0,0,38,Public,6,Working,52.3,0,100.0
97,28,Tier3,2KW,25.8,11,608.65,728,Medium,0,5,43,Highway,8,Working,34.8,0,100.0
98,44,Tier4,2KW,43.6,17,339.38,2490,Low,0,1,2,Highway,8,Working,63.1,0,100.0
99,31,Tier2,2KW,37.3,28,489.59,1852,Low,0,5,42,Public,9,Not Working,137.7,1,33.7
100,37,Tier3,5KW,35.6,29,483.81,2397,Low,1,0,12,Public,7,Working,63.5,1,100.0
101,28,Tier3,4KW,44.8,18,475.42,2274,Medium,1,4,36,Private,3,Working,69.7,1,100.0
102,55,Tier5,3KW,8.9,21,332.78,1799,Low,0,2,11,Private,9,Working,13.0,0,100.0
103,55,Tier2,2KW,16.9,19,360.94,842,Medium,1,0,29,Private,5,Working,21.0,0,100.0
104,53,Tier1,4KW,48.8,13,491.39,2102,Low,1,2,2,Highway,6,Working,77.0,0,88.04
105,25,Tier3,2KW,33.7,6,403.82,1914,Low,1,2,1,Highway,4,Working,54.9,1,84.06
106,62,Tier5,5KW,30.7,7,460.86,1180,Medium,1,2,35,Highway,5,Working,43.5,0,95.06
107,59,Tier1,5KW,21.6,12,328.37,1485,Medium,0,5,47,Highway,10,Working,32.1,0,100.0
108,61,Tier3,5KW,36.9,22,391.25,2478,High,1,2,28,Private,4,Working,51.9,1,100.0
109,48,Tier1,5KW,38.2,27,289.93,584,High,0,0,24,Public,1,Not Working,135.4,1,34.41
110,27,Tier1,2KW,49.4,15,481.72,1445,High,0,5,24,Private,7,Working,63.0,0,100.0
111,29,Tier3,2KW,38.7,28,408.22,2304,High,0,4,10,Highway,2,Working,56.7,1,100.0
112,28,Tier2,2KW,32.0,14,481.89,1340,Medium,0,5,44,Private,6,Working,44.5,0,100.0
113,32,Tier5,2KW,39.1,34,406.01,625,Low,0,3,42,Private,6,Not Working,144.5,1,38.35
114,54,Tier4,5KW,46.1,25,478.28,1632,Low,1,1,31,Highway,3,Not Working,158.1,1,20.15
115,53,Tier3,2KW,43.9,33,666.62,364,High,0,3,44,Private,9,Working,59.6,0,100.0
116,43,Tier3,5KW,41.2,15,387.15,373,Low,0,2,2,Highway,8,Working,60.2,0,100.0
117,44,Tier3,5KW,37.7,7,508.97,2119,Medium,1,3,30,Private,5,Working,48.1,0,96.06
118,57,Tier1,2KW,29.2,31,370.88,1621,Low,0,1,16,Highway,9,Working,35.5,0,100.0
119,55,Tier5,2KW,24.7,16,434.15,2151,Medium,0,4,27,Highway,9,Working,29.7,0,100.0
120,64,Tier5,2KW,23.1,13,506.75,1581,High,1,1,11,Public,7,Working,41.1,0,100.0
121,60,Tier1,2KW,38.9,16,483.99,577,Low,1,1,4,Public,10,Working,56.1,0,100.0
122,42,Tier1,3KW,40.0,32,532.9,1825,Low,1,2,22,Highway,8,Working,56.5,1,100.0
123,47,Tier1,3KW,45.9,33,564.77,780,Low,0,2,42,Public,10,Working,58.6,0,100.0
124,55,Tier4,4KW,40.6,18,529.78,1933,Medium,1,5,3,Private,6,Working,64.3,0,100.0
125,21,Tier4,5KW,45.5,17,560.43,1223,Medium,1,5,18,Public,8,Working,76.9,0,93.5
126,55,Tier5,2KW,33.7,12,475.56,2179,Medium,0,3,32,Private,6,Working,52.6,0,98.36
127,57,Tier5,2KW,42.7,7,362.57,1103,Low,1,5,10,Private,4,Working,60.2,1,87.96
128,34,Tier3,5KW,25.0,33,546.08,1768,Medium,0,4,23,Private,3,Working,44.2,1,100.0
129,23,Tier4,2KW,34.4,28,404.23,1837,Low,1,5,41,Public,1,Working,55.2,1,100.0
130,21,Tier4,2KW,16.7,23,533.27,1246,Medium,0,1,24,Public,5,Working,21.8,0,100.0
131,25,Tier3,5KW,35.3,10,299.4,1998,Low,0,2,27,Private,4,Working,47.4,0,100.0
132,46,Tier3,5KW,47.2,20,407.31,667,Low,1,5,9,Public,1,Working,69.6,1,100.0
133,34,Tier4,5KW,35.7,18,367.06,2006,Medium,1,5,18,Highway,10,Working,63.7,0,100.0
134,59,Tier3,2KW,42.2,32,497.1,1334,Low,1,4,37,Highway,3,Not Working,146.2,1,36.09
135,47,Tier4,4KW,37.7,5,380.75,527,Medium,0,1,32,Private,1,Not Working,112.4,1,19.43
136,29,Tier4,2KW,29.3,33,448.17,2394,Low,0,1,23,Public,5,Working,38.5,0,100.0
137,35,Tier5,5KW,33.1,24,432.56,1685,Medium,0,4,26,Public,8,Working,56.7,0,100.0
138,35,Tier4,2KW,46.8,12,573.19,560,Medium,1,3,2,Private,7,Working,70.2,0,91.24
139,46,Tier3,2KW,42.2,10,506.5,747,Medium,0,3,26,Highway,8,Working,61.2,0,92.56
140,62,Tier4,5KW,28.8,31,484.77,480,Medium,1,3,19,Private,1,Working,41.4,1,100.0
141,33,Tier3,5KW,21.1,9,452.44,1964,Low,1,4,41,Highway,7,Working,25.9,1,100.0
142,52,Tier2,4KW,37.1,26,357.95,1665,Medium,0,0,30,Private,1,Not Working,138.8,1,30.02
143,59,Tier1,2KW,29.2,11,344.8,1316,Low,0,5,19,Public,1,Working,47.2,1,98.16
144,52,Tier3,3KW,33.2,5,483.27,2362,Medium,1,3,2,Private,8,Not Working,94.7,1,29.3
145,24,Tier3,5KW,20.5,17,280.31,1436,Low,0,0,34,Public,2,Not Working,60.2,1,63.14
146,50,Tier5,4KW,45.4,20,445.48,1870,Medium,0,3,35,Private,9,Not Working,137.0,1,27.52
147,57,Tier3,2KW,34.0,23,462.88,446,Low,0,3,47,Private,10,Working,42.8,1,100.0
148,43,Tier3,2KW,35.5,16,280.72,1207,Medium,0,2,43,Public,4,Working,54.8,0,100.0
149,59,Tier2,5KW,26.7,18,443.26,639,Medium,1,0,30,Private,10,Working,40.1,0,100.0
150,65,Tier1,4KW,32.2,19,450.75,2475,Medium,1,3,1,Highway,6,Working,52.7,0,100.0
151,35,Tier5,5KW,36.2,16,699.44,2027,Medium,0,3,3,Public,2,Working,49.0,0,100.0
152,63,Tier2,2KW,28.9,21,451.13,1073,Medium,0,3,27,Highway,1,Working,37.6,1,100.0
153,49,Tier4,4KW,32.8,13,555.02,816,Medium,0,0,4,Private,4,Working,48.4,0,100.0
154,56,Tier4,5KW,48.9,8,503.58,1434,Low,0,5,30,Highway,2,Working,85.3,1,69.82
155,33,Tier3,2KW,17.5,22,480.96,1250,Medium,0,1,35,Private,6,Working,22.7,0,100.0
156,52,Tier5,4KW,36.8,16,549.6,2089,High,1,1,36,Private,8,Working,66.0,0,95.44
157,27,Tier3,2KW,27.1,15,276.81,1902,Low,0,4,44,Highway,7,Working,48.1,0,100.0
158,42,Tier2,2KW,48.4,25,439.37,1989,Low,1,0,7,Public,8,Working,67.2,1,100.0
159,48,Tier5,5KW,33.2,6,483.76,714,High,1,5,40,Public,2,Working,49.8,1,88.76
160,22,Tier5,5KW,24.5,27,334.5,433,High,1,5,43,Private,5,Working,34.8,1,100.0
161,62,Tier1,4KW,32.8,24,444.39,1291,Medium,0,3,36,Private,10,Working,55.2,0,100.0
162,65,Tier1,2KW,38.5,25,461.29,1021,Low,1,0,2,Public,10,Working,55.1,1,100.0
163,26,Tier1,2KW,62.8,34,429.76,1908,Low,0,3,17,Public,4,Working,89.9,1,100.0
164,48,Tier2,5KW,13.9,29,343.5,618,High,0,3,11,Highway,9,Working,19.6,0,100.0
165,48,Tier5,2KW,23.0,18,359.55,1455,High,1,4,21,Public,1,Working,38.7,1,100.0
166,64,Tier3,5KW,48.1,16,411.52,713,High,1,4,45,Highway,5,Working,73.4,0,97.08
167,64,Tier3,2KW,19.9,6,496.16,472,High,0,3,35,Private,9,Working,33.2,0,94.72
168,40,Tier5,5KW,35.1,15,461.41,1605,High,1,4,43,Private,6,Working,47.8,0,100.0
169,50,Tier3,5KW,30.2,9,473.91,1137,Low,0,3,2,Private,10,Working,41.4,0,100.0
170,31,Tier2,2KW,28.6,18,422.25,882,Medium,1,5,15,Private,7,Working,35.0,0,100.0
171,48,Tier5,5KW,33.3,19,349.15,872,High,1,1,21,Private,5,Working,44.5,0,100.0
172,45,Tier5,2KW,31.7,33,413.18,1058,Medium,1,2,20,Private,10,Not Working,122.7,1,48.06
173,59,Tier5,2KW,45.6,24,350.06,1361,Low,0,2,34,Public,1,Not Working,185.7,1,0.0
174,53,Tier3,3KW,48.3,7,86.65,2409,Low,0,5,15,Highway,5,Not Working,188.4,1,0.0
175,21,Tier5,4KW,39.3,31,448.37,1083,Low,0,5,46,Public,2,Working,58.8,1,100.0
176,47,Tier1,2KW,32.6,21,418.77,2179,High,1,2,18,Public,1,Working,51.3,1,100.0
177,33,Tier3,4KW,37.6,32,598.38,2274,High,1,4,14,Highway,6,Working,48.5,1,100.0
178,61,Tier5,2KW,43.1,10,532.68,1720,High,0,3,35,Public,6,Working,52.7,0,100.0
179,23,Tier2,2KW,45.0,11,507.14,707,Medium,0,4,4,Private,10,Not Working,154.9,1,2.17
180,59,Tier5,4KW,38.7,17,330.06,1303,Low,1,1,32,Public,6,Working,48.8,0,100.0
181,26,Tier3,4KW,50.3,5,572.36,366,Low,0,1,33,Public,2,Working,66.7,0,83.54
182,28,Tier1,4KW,28.8,17,466.95,2013,Medium,0,5,28,Highway,10,Working,41.2,0,100.0
183,47,Tier5,4KW,46.4,10,407.15,2320,Medium,0,1,14,Public,4,Working,58.8,0,98.32
184,29,Tier1,5KW,42.0,21,356.06,1046,Medium,1,4,14,Private,1,Working,58.5,1,100.0
185,57,Tier4,3KW,28.9,10,371.41,2283,Medium,1,4,37,Public,9,Working,35.1,0,100.0
186,53,Tier1,2KW,37.3,8,419.21,1019,Medium,0,1,23,Highway,4,Working,52.9,0,92.94
187,62,Tier5,4KW,38.0,10,326.79,1642,Medium,0,0,20,Public,4,Not Working,108.6,1,29.26
188,64,Tier2,4KW,33.6,5,454.6,663,Medium,1,3,46,Public,1,Working,43.0,1,93.88
189,44,Tier2,4KW,33.5,5,430.17,1074,Low,1,2,46,Private,9,Working,48.7,0,88.1
190,35,Tier1,4KW,19.8,23,532.39,653,Medium,1,5,6,Highway,4,Working,29.4,1,100.0
191,52,Tier5,2KW,28.1,26,432.09,589,Medium,1,1,33,Private,9,Working,35.5,0,100.0
192,52,Tier5,2KW,32.6,23,231.49,634,Low,1,2,46,Private,4,Working,50.8,1,100.0
193,44,Tier5,4KW,29.3,34,412.86,2096,Low,0,2,5,Public,10,Working,44.7,0,100.0
194,61,Tier3,2KW,26.4,17,314.51,2276,Medium,0,5,34,Private,5,Working,38.4,0,100.0
195,32,Tier3,3KW,45.6,11,378.4,757,Medium,0,2,24,Private,10,Working,59.3,0,99.18
196,59,Tier1,3KW,34.0,15,336.73,1395,High,0,2,16,Highway,1,Working,52.1,0,100.0
197,22,Tier3,3KW,56.7,24,700.82,1368,Low,0,5,38,Highway,7,Working,71.0,1,100.0
198,23,Tier2,4KW,37.2,16,409.22,1195,Low,1,5,27,Highway,4,Not Working,103.2,1,40.99
199,57,Tier5,2KW,45.4,13,536.11,2034,High,1,4,47,Public,3,Working,76.8,1,85.52
200,37,Tier5,5KW,32.9,17,413.24,662,Medium,0,0,11,Public,4,Working,45.1,0,100.0
201,22,Tier3,5KW,28.4,11,422.78,2056,Medium,0,4,30,Public,6,Working,49.2,0,95.52
202,22,Tier1,3KW,37.6,24,392.97,828,Medium,0,5,42,Private,3,Working,50.1,1,100.0
203,48,Tier5,2KW,48.0,29,366.47,1601,Low,0,2,39,Public,9,Not Working,133.1,1,44.31
204,43,Tier1,2KW,34.1,9,369.02,2264,Medium,1,2,12,Public,3,Working,55.1,0,90.18
205,57,Tier1,4KW,39.5,20,494.94,1479,Medium,0,2,42,Highway,2,Working,51.9,0,100.0
206,52,Tier2,2KW,37.6,24,442.82,1901,Medium,0,2,44,Private,5,Working,53.0,0,100.0
207,53,Tier3,2KW,34.0,22,609.5,1896,Low,1,3,44,Highway,9,Working,54.8,1,100.0
208,21,Tier5,2KW,34.5,29,423.57,784,Low,1,3,8,Public,1,Working,55.2,1,100.0
209,39,Tier2,4KW,25.0,16,416.85,435,Low,1,3,32,Private,6,Not Working,87.6,1,45.08
210,22,Tier1,4KW,34.9,30,454.88,1202,Low,1,4,38,Highway,8,Working,48.5,1,100.0
211,64,Tier3,4KW,41.5,28,522.7,1517,Low,0,5,11,Private,6,Working,66.0,1,100.0
212,46,Tier5,5KW,38.0,26,463.92,1857,Low,0,2,26,Private,9,Working,67.5,0,100.0
213,52,Tier2,2KW,36.8,5,611.49,1110,Medium,0,1,36,Private,6,Working,45.9,0,93.54
214,26,Tier2,4KW,42.3,12,759.36,1733,Low,0,2,19,Public,8,Working,60.2,0,97.64
215,52,Tier5,2KW,36.9,8,548.31,2342,Medium,0,0,11,Public,4,Working,49.2,0,96.32
216,24,Tier5,4KW,35.1,21,495.12,980,Low,0,3,47,Private,10,Working,52.2,1,100.0
217,31,Tier5,4KW,42.4,7,209.9,1806,Medium,1,4,35,Public,8,Not Working,172.1,1,0.0
218,37,Tier5,2KW,36.4,26,616.18,2015,High,0,0,2,Private,3,Not Working,109.8,1,49.92
219,58,Tier1,2KW,32.6,22,597.27,2144,Medium,0,5,34,Public,7,Working,55.2,0,100.0
220,44,Tier2,5KW,39.7,12,634.15,2366,Medium,0,0,30,Public,6,Working,68.9,0,86.86
221,25,Tier2,2KW,34.6,25,545.56,709,Medium,0,1,32,Private,8,Working,42.7,0,100.0
222,54,Tier2,3KW,32.2,25,336.09,464,High,0,0,5,Private,9,Working,40.3,0,100.0
223,26,Tier5,5KW,36.6,5,334.18,1208,Low,1,0,17,Highway,1,Working,62.9,1,76.38
224,42,Tier5,4KW,36.7,13,319.14,741,Low,1,4,26,Private,8,Working,54.7,1,100.0
225,31,Tier5,5KW,24.0,31,459.64,1218,Low,0,0,45,Highway,4,Working,41.1,1,100.0
226,36,Tier1,5KW,38.3,6,365.87,1913,Low,0,0,42,Private,9,Working,67.1,0,75.54
227,53,Tier5,2KW,53.5,29,553.08,590,Low,0,2,7,Private,3,Working,80.6,1,100.0
228,29,Tier5,2KW,25.2,33,381.38,2425,Medium,0,2,41,Highway,9,Working,34.3,0,100.0
229,26,Tier1,5KW,30.0,30,410.9,2071,Medium,0,2,1,Public,8,Working,46.4,0,100.0
230,36,Tier5,5KW,62.8,14,481.72,1980,Medium,1,1,5,Public,3,Working,88.6,0,89.64
231,49,Tier2,2KW,26.8,31,392.63,1573,Low,0,1,30,Private,7,Working,39.8,0,100.0
232,23,Tier1,2KW,47.9,18,341.03,1893,Medium,1,3,13,Public,4,Not Working,147.8,1,18.56
233,40,Tier4,2KW,32.7,5,232.45,2011,High,0,5,22,Highway,6,Working,44.8,0,91.36
234,56,Tier4,5KW,35.6,14,561.69,1263,Low,0,2,7,Public,5,Working,63.3,0,93.18
235,39,Tier1,3KW,33.7,12,339.46,510,Medium,0,2,32,Highway,2,Working,50.8,0,100.0
236,46,Tier2,5KW,39.3,7,404.01,863,Medium,0,2,24,Public,8,Working,56.4,0,89.04
237,23,Tier5,5KW,19.2,17,405.48,2142,High,0,5,17,Highway,2,Working,29.0,0,100.0
238,39,Tier4,5KW,36.9,7,202.68,1380,Medium,1,5,43,Private,7,Working,46.6,0,96.92
239,40,Tier5,4KW,31.0,11,484.42,2051,Medium,1,0,21,Highway,1,Not Working,93.7,1,37.17
240,52,Tier2,2KW,16.4,27,618.6,725,Medium,0,5,16,Public,8,Working,26.0,0,100.0
241,27,Tier1,2KW,46.2,27,565.15,2149,Medium,1,5,38,Public,5,Working,62.4,1,100.0
242,61,Tier2,4KW,13.9,15,404.87,2415,Low,0,5,21,Highway,10,Working,22.0,0,100.0
243,53,Tier2,2KW,56.5,18,576.55,601,Medium,1,1,6,Highway,3,Working,78.2,0,100.0
244,60,Tier2,2KW,41.2,11,241.94,1050,High,1,5,37,Highway,9,Working,68.7,0,86.26
245,59,Tier1,4KW,21.4,23,549.86,449,Medium,0,2,5,Private,8,Working,27.0,0,100.0
246,38,Tier3,3KW,48.4,19,362.27,1121,High,0,2,11,Highway,1,Working,80.3,0,96.42
247,60,Tier2,5KW,27.5,12,566.17,1145,High,0,4,9,Highway,1,Working,35.4,0,100.0
248,21,Tier5,2KW,28.0,5,454.27,639,High,0,3,27,Public,8,Working,36.9,0,95.5
249,31,Tier1,2KW,17.0,7,305.5,1933,Medium,0,0,1,Private,6,Working,26.7,0,100.0
250,48,Tier3,3KW,26.4,12,479.66,1433,Medium,0,0,40,Highway,7,Working,37.4,0,100.0
251,45,Tier1,5KW,27.5,17,450.11,1016,Medium,1,1,36,Public,1,Working,46.0,0,100.0
252,43,Tier3,5KW,43.2,22,478.6,2347,Medium,1,2,9,Public,7,Working,75.1,0,100.0
253,51,Tier1,2KW,46.7,11,353.76,2416,Low,1,0,11,Public,9,Working,75.6,0,83.76
254,50,Tier5,2KW,22.6,24,309.46,1932,High,0,0,25,Private,3,Working,37.3,0,100.0
255,62,Tier5,5KW,37.7,10,523.63,732,Medium,0,3,35,Public,9,Working,47.3,0,100.0
